No,year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
43825,2015,1,1,0,4,5,32,8,22,-21,29,1034,-6,SE,0.89,0,0
43826,2015,1,1,1,4,4,12,7,9,-22,23,1034,-4,NW,4.92,0,0
43827,2015,1,1,2,4,3,19,7,9,-21,27,1034,-5,NW,8.94,0,0
43828,2015,1,1,3,4,4,9,11,13,-21,29,1035,-6,NW,12.96,0,0
43829,2015,1,1,4,4,3,11,5,10,-21,27,1034,-5,NW,16.98,0,0
43830,2015,1,1,5,4,3,18,3,6,-22,23,1034,-4,NW,24.13,0,0
43831,2015,1,1,6,4,3,20,6,8,-23,22,1034,-5,NW,25.92,0,0
43832,2015,1,1,7,4,3,22,7,17,-22,26,1035,-6,SE,1.79,0,0
43833,2015,1,1,8,4,NA,NA,NA,11,-22,29,1035,-7,cv,0.89,0,0
43834,2015,1,1,9,4,5,37,11,33,-22,24,1035,-5,NE,1.79,0,0
43835,2015,1,1,10,4,4,37,36,37,-22,21,1035,-3,NE,4.92,0,0
43836,2015,1,1,11,4,21,40,40,40,-22,19,1034,-2,cv,1.79,0,0
43837,2015,1,1,12,4,41,63,61,63,-22,17,1032,0,cv,3.58,0,0
43838,2015,1,1,13,4,40,58,54,62,-22,16,1030,1,SE,3.13,0,0
43839,2015,1,1,14,4,28,48,53,44,-23,13,1029,2,SE,6.26,0,0
43840,2015,1,1,15,4,29,42,41,48,-23,13,1028,2,SE,9.39,0,0
43841,2015,1,1,16,4,31,53,51,51,-24,12,1027,2,SE,13.41,0,0
43842,2015,1,1,17,4,52,68,68,82,-23,14,1027,1,SE,16.54,0,0
43843,2015,1,1,18,4,64,85,81,87,-21,20,1026,-1,SE,19.67,0,0
43844,2015,1,1,19,4,75,94,88,106,-19,25,1026,-2,cv,0.89,0,0
43845,2015,1,1,20,4,82,107,100,123,-19,34,1026,-6,NE,1.79,0,0
43846,2015,1,1,21,4,88,138,102,136,-19,40,1026,-8,NE,2.68,0,0
43847,2015,1,1,22,4,86,158,124,139,-18,38,1026,-6,NW,1.79,0,0
43848,2015,1,1,23,4,80,175,134,154,-17,48,1027,-8,NE,1.79,0,0
43849,2015,1,2,0,4,82,161,126,126,-18,32,1027,-4,NW,1.79,0,0
43850,2015,1,2,1,4,81,119,98,98,-19,32,1028,-5,NW,4.92,0,0
43851,2015,1,2,2,4,68,95,68,66,-18,35,1028,-5,NW,9.84,0,0
43852,2015,1,2,3,4,35,52,47,45,-18,28,1029,-2,NE,4.92,0,0
43853,2015,1,2,4,4,16,27,27,28,-18,30,1030,-3,NE,8.94,0,0
43854,2015,1,2,5,4,8,18,12,12,-18,30,1030,-3,NE,12.07,0,0
43855,2015,1,2,6,4,5,20,13,12,-18,35,1031,-5,cv,0.89,0,0
43856,2015,1,2,7,4,3,20,12,16,-17,44,1031,-7,NE,1.79,0,0
43857,2015,1,2,8,4,3,25,12,13,-17,41,1032,-6,NW,3.13,0,0
43858,2015,1,2,9,4,8,27,18,24,-15,33,1033,-1,cv,0.89,0,0
43859,2015,1,2,10,4,11,29,21,34,-18,24,1033,0,NE,3.13,0,0
43860,2015,1,2,11,4,8,18,14,13,-18,21,1032,2,NE,6.26,0,0
43861,2015,1,2,12,4,9,22,11,19,-19,18,1031,3,NE,10.28,0,0
